,新レシピID,旧レシピID,レシピ名,主菜・副菜
82,100200,200,わかめときゅうりの酢の物,副菜
83,100204,204,わかめとみょうがのお吸い物,汁物
84,100209,209,鰯のかば焼き,主菜・主食
85,100211,211,鰯の梅煮,主菜・主食
86,100212,212,塩肉じゃが,主菜・主食
87,100213,213,塩揉みキャベツ,副菜
88,100220,220,玉ねぎと油揚げのお味噌汁,汁物
89,100222,222,鶏ささみのチーズロール,主菜・主食
90,100223,223,鶏ささみの梅肉巻き,主菜・主食
91,100230,230,鶏の味噌漬け焼き,主菜・主食
92,100234,234,鶏団子とキャベツのスープ,汁物
93,100242,242,鮭の混ぜ寿司,主菜・主食
94,100245,245,鮭の味噌マヨグリル,主菜・主食
95,100246,246,鯖のきのこおろし,主菜・主食
96,100250,250,三色ナムル,副菜
97,100251,251,三色野菜の紫漬け(ナス),副菜
98,100252,252,三色野菜の紫漬け(セロリ),副菜
99,100253,253,三色野菜の卵炒め,副菜
100,100254,254,酸辣湯,汁物
101,100261,261,春雨サラダ,副菜
102,100262,262,春雨スープ,汁物
103,100263,263,春菊のサラダ,副菜
104,100266,266,小松菜の卵とじ,副菜
105,100268,268,焼きナス,副菜
106,100273,273,蒸し鶏の肉味噌かけ,主菜・主食
107,100274,274,蒸し鶏の味噌マヨソース,副菜
108,100277,277,人参とセロリのスープ,汁物
109,100279,279,水菜と油揚げのサラダ,副菜
110,100281,281,水菜と卵のスープ,汁物
111,100284,284,青菜炒め,副菜
112,100289,289,大根の浅漬け,副菜
113,100292,292,大豆のサラダマリネ,副菜
114,100294,294,大葉とミニトマトのマリネ,副菜
115,100302,302,中華風茶わん蒸し,汁物
116,100303,303,長芋とオクラのおかか和え,副菜
117,100305,305,長芋の梅肉和え,副菜
118,100306,306,椎茸のアヒージョ,副菜
119,100307,307,椎茸の肉詰め,主菜・主食
120,100308,308,天津飯,主菜・主食
121,100314,314,豆腐ステーキ,主菜・主食
122,100316,316,豆腐とわかめのお味噌汁,汁物
123,100321,321,豚しゃぶうどん,主菜・主食
124,100323,323,豚肉の長芋梅巻き,主菜・主食
125,100325,325,肉味噌豆腐,副菜
126,100327,327,納豆おろし,副菜
127,100328,328,梅ときゅうりの即席漬け,副菜
128,100329,329,梅と大葉の冷奴,副菜
129,100331,331,白菜と卵のスープ,汁物
130,100337,337,野菜たっぷり塩焼きそば,主菜・主食
131,100338,338,野菜と卵のスープ,汁物
